*,99
* ,20
AC,1
AE,14
AK,1537
AL,6587
AR,710
AS,18
AU,4
AY,5
AZ,4594
BA,199
BC,1
BD,2
BE,137
BF,2
BH,2
BK,4
BL,1
BR,5
BU,3
CA,41892
CI,1
CO,4936
CT,5633
CY,1
DA,82
DC,4232
DE,313
EC,2
EG,39
EI,5
ER,1
ES,10
EZ,3
FI,3
FL,10553
FR,57
GA,5287
GL,1
GM,4714
GR,76
GU,421
HI,3450
HK,1
HO,19
HR,6
HU,20
IA,904
IC,144
ID,1179
IL,5675
IN,2476
IS,99
IT,821
JA,2950
JO,4
KE,3
KG,1
KS,1911
KU,169
KY,2067
LA,1906
LH,1
LO,2
LU,47
MA,8603
MD,17088
ME,1325
MI,3608
MK,6
MN,2699
MO,3857
MP,1
MS,1943
MT,463
MU,7
NC,5276
ND,517
NE,642
NH,1152
NJ,8366
NL,438
NM,1750
NO,19
NT,6
NV,737
NY,9192
NZ,2
OH,7763
OK,2519
ON,131
OR,1053
PA,11287
PE,18
PL,1
PM,10
PO,75
PR,457
QA,43
RI,868
RM,2
RO,2
RP,3
RS,30
SA,248
SC,3119
SD,721
SI,4
SN,133
SP,194
SW,29
SZ,17
TC,2
TD,2
TK,6
TN,2626
TU,221
TX,18492
UG,7
UK,1080
UP,2
UT,2765
VA,44562
VI,4
VM,10
VT,275
WA,5413
WI,2462
WV,300
WY,150
YM,3
ZI,4
